CustomerID,InvoiceNo,Basket Price,categ_0,categ_1,categ_2,categ_3,categ_4,InvoiceDate
12347,573511,1294.3200000000002,203.29999999999998,368.72,512.4,154.3,55.6,2011-10-31 12:25:00.000001280
12347,581180,224.82000000000002,100.79999999999998,0.0,55.44,38.58,30.0,2011-12-07 15:52:00.000000000
12349,577609,1757.55,465.86,188.3,665.72,79.32000000000001,358.35,2011-11-21 09:51:00.000000256
12352,574275,311.73,107.30000000000001,22.5,107.23,20.8,53.9,2011-11-03 14:36:59.999999744
12356,576895,58.349999999999994,0.0,0.0,58.349999999999994,0.0,0.0,2011-11-17 08:40:00.000000000
12357,574740,6207.669999999996,1146.8999999999999,1759.8800000000003,1421.28,315.96000000000015,1563.6500000000003,2011-11-06 16:07:00.000002816
12358,581232,683.2,23.4,0.0,160.0,0.0,499.80000000000007,2011-12-08 10:26:00.000000000
12359,571034,2680.5500000000006,316.84000000000003,647.5000000000002,1165.4299999999998,10.08,540.7,2011-10-13 12:47:00.000002048
12360,571705,1043.7799999999997,190.32,181.95000000000002,450.72,141.24,79.55,2011-10-18 15:22:00.000002048
12362,570667,355.80000000000007,209.1,0.0,146.7,0.0,0.0,2011-10-11 14:32:59.999999744
12362,572887,786.95,101.39999999999999,235.5,274.0,20.4,155.65,2011-10-26 13:46:59.999998976
12362,573173,450.31,19.799999999999997,133.94,157.2,26.52,112.85,2011-10-28 10:10:00.000000000
12362,574329,477.94000000000005,81.9,98.5,246.54000000000002,51.0,0.0,2011-11-04 09:07:00.000000000
12362,580979,529.04,84.1,185.79999999999998,193.39999999999998,33.94,31.8,2011-12-06 15:40:00.000000000
12364,573401,299.05999999999995,61.08,0.0,30.0,175.27999999999997,32.7,2011-10-30 15:42:59.999999488
12364,580152,310.31999999999994,74.39999999999999,0.0,32.7,203.21999999999994,0.0,2011-12-02 10:22:00.000000000
12367,580716,168.9,70.19999999999999,9.9,45.0,43.8,0.0,2011-12-05 16:48:00.000000000
12370,571905,739.28,179.76,271.6,160.4,60.72,66.8,2011-10-19 14:50:59.999999232
12371,570521,1527.9600000000003,255.29999999999998,545.85,564.14,50.519999999999996,112.14999999999999,2011-10-11 10:42:59.999998464
12371,572770,360.0,0.0,0.0,360.0,0.0,0.0,2011-10-26 10:16:00.000000000
12374,576345,742.93,187.46999999999997,81.4,343.5,78.96000000000001,51.6,2011-11-14 15:37:00.000001024
12375,579281,225.12000000000003,0.0,0.0,225.12000000000003,0.0,0.0,2011-11-29 10:36:00.000000000
12380,571187,446.61,124.39999999999999,182.35,86.64,41.32,11.9,2011-10-14 11:38:59.999999488
12380,577180,1040.3899999999999,123.89999999999999,177.72000000000003,633.97,0.0,104.8,2011-11-18 11:27:00.000000000
12381,570681,6.0,0.0,0.0,6.0,0.0,0.0,2011-10-11 15:45:00.000000000
12381,570725,4.5,0.0,0.0,4.5,0.0,0.0,2011-10-12 11:30:00.000000000
12381,574694,419.05999999999995,60.599999999999994,74.7,185.72,30.04,68.0,2011-11-06 13:36:00.000000000
12381,580638,147.01,0.0,29.700000000000003,77.71000000000001,39.6,0.0,2011-12-05 12:44:00.000000000
12384,575734,292.58,15.0,30.0,162.38000000000002,0.0,85.2,2011-11-11 08:39:00.000000000
12388,578459,286.40000000000003,0.0,0.0,153.4,61.6,71.4,2011-11-24 12:30:00.000000000
12391,577228,439.65999999999997,145.95000000000002,104.05000000000001,124.75,43.06,21.849999999999998,2011-11-18 12:07:00.000001536
12394,569997,891.4000000000001,266.24,239.0,162.0,224.16,0.0,2011-10-07 08:08:00.000000000
12395,569496,346.67999999999995,60.0,104.70000000000002,176.94000000000003,5.04,0.0,2011-10-04 13:45:00.000000000
12395,575151,263.08,142.0,15.0,106.08000000000001,0.0,0.0,2011-11-08 16:12:00.000000000
12395,575154,243.47,74.4,64.8,61.230000000000004,30.54,12.5,2011-11-08 16:15:00.000000000
12395,577551,263.28,46.8,49.800000000000004,98.13000000000001,38.7,29.849999999999998,2011-11-20 15:20:59.999999744
12397,574336,1195.09,261.2,283.40000000000003,406.62999999999994,115.56000000000002,128.3,2011-11-04 09:52:00.000000000
12398,572567,1635.6599999999999,554.7799999999999,146.9,382.24,427.84,123.89999999999999,2011-10-25 10:26:59.999998464
12403,572184,409.7,0.0,391.7,18.0,0.0,0.0,2011-10-21 10:51:00.000000000
12406,577126,1794.0500000000004,384.4799999999999,665.25,397.32000000000005,276.19999999999993,70.8,2011-11-17 19:22:00.000002048
12407,572133,300.76,90.6,34.650000000000006,88.86,36.900000000000006,49.75,2011-10-21 10:11:00.000000000
12408,574862,739.5000000000001,226.6,302.30000000000007,189.0,21.599999999999998,0.0,2011-11-07 12:26:59.999999488
12413,569402,194.2,19.799999999999997,44.7,112.70000000000002,17.0,0.0,2011-10-04 09:00:00.000000000
12415,569647,828.0,0.0,828.0,0.0,0.0,0.0,2011-10-05 12:35:00.000000000
12415,569650,15643.770000000002,2494.2400000000002,4580.310000000001,2660.0800000000004,584.64,5324.5,2011-10-05 12:43:59.999997440
12415,574014,624.24,0.0,0.0,624.24,0.0,0.0,2011-11-02 12:03:00.000000000
12415,574138,375.23999999999995,0.0,118.44,246.72,10.08,0.0,2011-11-03 11:26:00.000000000
12415,576394,4925.8,1762.36,310.92,2082.0,234.72,535.8000000000001,2011-11-15 10:32:00.000000000
12415,576586,429.6,0.0,0.0,429.6,0.0,0.0,2011-11-15 14:22:00.000000000
12417,573656,442.9,48.0,108.85,172.8,40.8,72.45,2011-10-31 16:02:00.000000000
12417,580965,369.73,48.919999999999995,71.9,160.47000000000003,51.54,36.9,2011-12-06 14:52:00.000000000
12420,570000,600.3900000000001,106.7,201.29999999999998,118.57,50.519999999999996,123.30000000000001,2011-10-07 08:54:59.999998976
12421,578339,178.48,41.94,15.0,85.84,0.0,35.7,2011-11-24 09:07:00.000000000
12423,581493,208.64000000000004,41.72,0.0,83.10000000000001,83.82000000000001,0.0,2011-12-09 10:10:00.000000000
12427,570452,282.58000000000004,118.19999999999999,56.35,73.68,0.0,34.35,2011-10-10 15:15:00.000000256
12427,577135,179.23999999999998,19.799999999999997,0.0,91.44,0.0,68.0,2011-11-18 08:56:00.000000000
